release,distributor,seasons,adjusted_gross
The Call of the Wild,20th Century Studios,winter,72317146
The Campaign,Warner Bros.,summer,114718224
The Cannonball Run,Twentieth Century Fox,summer,248297751
The Care Bears Movie,The Samuel Goldwyn Company,spring,53314138
The Cat in the Hat,Universal Pictures,holiday season,161784141
The Cell,New Line Cinema,summer,108561284
The Change-Up,Universal Pictures,summer,50430806
The Chosen Season 3: Episode 1 & 2,Fathom Events,holiday season,15488814
The Chronicles of Narnia: Prince Caspian,Walt Disney Studios Motion Pictures,summer,201102515
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Walt Disney Studios Motion Pictures,holiday season,453049949
The Chronicles of Narnia: The Voyage of the Dawn Treader,Twentieth Century Fox,holiday season,110491213
The Chronicles of Riddick,Universal Pictures,summer,93572839
The Cider House Rules,Miramax,holiday season,96527696
The Client,Warner Bros.,summer,185234191
The Color Purple,Warner Bros.,holiday season,229301171
The Color of Money,Walt Disney Studios Motion Pictures,fall,142762570
The Commitments,Twentieth Century Fox,summer,33121445
The Commuter,Lionsgate,winter,43976068
The Competition,Columbia Pictures,holiday season,55007856
The Conjuring,Warner Bros.,summer,178620183
The Conjuring 2,Warner Bros.,summer,129112210
The Conjuring: The Devil Made Me Do It,Warner Bros.,summer,74760148
The Constant Gardener,Focus Features,summer,52717828
The Core,Paramount Pictures,spring,51458378
The Cotton Club,Orion Pictures,holiday season,74822392
The Couch Trip,Lorimar Motion Pictures,winter,28503737
The Count of Monte Cristo,Walt Disney Studios Motion Pictures,winter,91655564
The Courier,Roadside Attractions,spring,7539312
The Cowboy Way,Universal Pictures,summer,41574032
The Craft,Sony Pictures Entertainment (SPE),spring,48150675
The Crazies,Overture Films,winter,53990552
The Crocodile Hunter: Collision Course,Metro-Goldwyn-Mayer (MGM),summer,48067950
The Croods,Twentieth Century Fox,spring,243318952
The Croods: A New Age,Universal Pictures,holiday season,67415133
The Crow,Miramax,summer,103920914
The Crow: City of Angels,Miramax,summer,34759536
The Crush,Warner Bros.,spring,28579731
The Crying Game,Miramax,holiday season,124630810
The Curious Case of Benjamin Button,Paramount Pictures,holiday season,181063242
The Curse of La Llorona,Warner Bros.,spring,65133149
The Cutting Edge,Metro-Goldwyn-Mayer (MGM),spring,54478971
The DUFF,Lionsgate,winter,43558839
The Da Vinci Code,Sony Pictures Entertainment (SPE),summer,328479568
The Dark Crystal,Universal Pictures,holiday season,126103178
The Dark Knight,Warner Bros.,summer,753913394
The Dark Knight Rises,Warner Bros.,summer,591543610
The Dark Tower,Sony Pictures Entertainment (SPE),summer,62362629
The Day After Tomorrow,Twentieth Century Fox,summer,302520094
The Day the Earth Stood Still,Twentieth Century Fox,holiday season,95547319
The Dead Pool,Warner Bros.,summer,98169534
The Dead Zone,Paramount Pictures,fall,63545844
The Delta Force,Cannon Film Distributors,winter,48509097
The Departed,Warner Bros.,fall,181743015
The Descendants,-,holiday season,110438380
The Devil Inside,Paramount Pictures,winter,70305766
The Devil Wears Prada,Twentieth Century Fox,summer,188358094
The Devil's Advocate,Warner Bros.,fall,110910246
The Devil's Own,Sony Pictures Entertainment (SPE),spring,80592494
The Dictator,Paramount Pictures,summer,78738293
The Dilemma,Universal Pictures,winter,65926394
The Distinguished Gentleman,Walt Disney Studios Motion Pictures,holiday season,100371707
The Divergent Series: Insurgent,Lionsgate,spring,166629212
The Doctor,Walt Disney Studios Motion Pictures,summer,84628409
The Doors,TriStar Pictures,winter,76405502
The Dream Team,Universal Pictures,spring,71358892
The Dukes of Hazzard,Warner Bros.,summer,126024256
The Edge,Twentieth Century Fox,fall,52401965
The Emerald Forest,Embassy Pictures,summer,69490682
The Emoji Movie,Sony Pictures Entertainment (SPE),summer,105890100
The Emperor's New Groove,Walt Disney Studios Motion Pictures,holiday season,133446073
The Empty Man,20th Century Studios,fall,3471297
The English Patient,Miramax,holiday season,149339421
The Entity,Twentieth Century Fox,winter,40629327
The Equalizer,Sony Pictures Entertainment (SPE),fall,129171973
The Equalizer 2,Sony Pictures Entertainment (SPE),summer,123522078
The Evil That Men Do,TriStar Pictures,fall,38519953
The Exorcism of Emily Rose,Screen Gems,fall,117863752
The Exorcist III,Twentieth Century Fox,summer,61332236
The Exorcist2000 Director's Cut,Warner Bros.,fall,70217689
The Expendables,Lionsgate,summer,142234563
The Expendables 2,Lionsgate,summer,112237213
The Expendables 3,Lionsgate,summer,50332856
The Eye,Lionsgate,winter,44614549
The Fabelmans,Universal Pictures,holiday season,12515838
The Fabulous Baker Boys,Twentieth Century Fox,fall,45519392
The Faculty,Miramax,holiday season,73867917
The Falcon and the Snowman,Orion Pictures,winter,48649447
The Family,Relativity Media,fall,47986840
The Family Man,Universal Pictures,holiday season,131331536
The Family Stone,Twentieth Century Fox,holiday season,65006377
The Family That Preys,Lionsgate,fall,52689510
The Fan,Sony Pictures Entertainment (SPE),summer,36135252
The Fast and the Furious,Universal Pictures,summer,247153011
The Fast and the Furious: Tokyo Drift,Universal Pictures,summer,94396766
The Fate of the Furious,Universal Pictures,spring,277990313
The Fault in Our Stars,Twentieth Century Fox,summer,159836608
The Fiendish Plot of Dr. Fu Manchu,Warner Bros.,summer,41184512
The Fifth Element,Sony Pictures Entertainment (SPE),summer,119981938
The Fighter,Paramount Pictures,holiday season,128099967
The Fighting Temptations,Paramount Pictures,fall,49913729
The Final Conflict,Twentieth Century Fox,spring,70421554
The Final Destination,Warner Bros.,summer,94398334
The Finest Hours,Walt Disney Studios Motion Pictures,winter,34737643
The Firm,Paramount Pictures,summer,332531570
The First Power,Orion Pictures,spring,52696858
The First Purge,Universal Pictures,summer,84081381
The First Wives Club,Paramount Pictures,fall,204649053
The Fisher King,TriStar Pictures,fall,93007990
The Flamingo Kid,Twentieth Century Fox,holiday season,50172079
The Flintstones,Universal Pictures,summer,267588976
The Flintstones in Viva Rock Vegas,Universal Pictures,spring,62424846
The Fly,Twentieth Century Fox,summer,110446422
The Fly II,Twentieth Century Fox,winter,49452665
The Fog,Revolution Studios,fall,46332445
The Forbidden Kingdom,Lionsgate,spring,73946883
The Foreigner,STX Entertainment,fall,42304013
The Forest,Focus Features,winter,33508768
The Forever Purge,Universal Pictures,summer,50774739
The Forgotten,Revolution Studios,fall,108756284
The Formula,Metro-Goldwyn-Mayer (MGM),holiday season,34243012
The Four Seasons,Universal Pictures,summer,173471102
The Fourth Protocol,Lorimar Motion Pictures,summer,33420105
The Fox and the Hound1988 Re-release,Walt Disney Studios Motion Pictures,spring,61012598
The French Dispatch,Searchlight Pictures,fall,18213517
The Freshman,TriStar Pictures,summer,50432412
The Fugitive,Warner Bros.,summer,370585366
The Full Monty,-,summer,64772967
The Funhouse,Universal Pictures,spring,27130788
The Gallows,Warner Bros.,summer,29138444
The Game,PolyGram,fall,90848458
The Game Plan,Walt Disney Studios Motion Pictures,fall,131445949
The Gate,New Century,summer,36421142
The General's Daughter,Paramount Pictures,summer,186924650
The Gentlemen,STX Entertainment,winter,42306820
The Getaway,Universal Pictures,winter,32994696
The Ghost and the Darkness,Paramount Pictures,fall,74921645
The Gift,STX Entertainment,summer,56047699
The Girl Who Believes in Miracles,Atlas Distribution Company,spring,3604693
The Girl on the Train,Universal Pictures,fall,94997744
The Girl with the Dragon Tattoo,Sony Pictures Entertainment (SPE),holiday season,137334393
The Giver,The Weinstein Company,summer,57715678
The Glimmer Man,Warner Bros.,fall,39481452
The Godfather Part III,Paramount Pictures,holiday season,148140642
The Gods Must Be Crazy,Twentieth Century Fox,spring,46225913
The Golden Child,Paramount Pictures,holiday season,216436016
The Golden Compass,New Line Cinema,holiday season,88594280
The Gong Show Movie,Universal Pictures,summer,25492852
The Good Dinosaur,Walt Disney Studios Motion Pictures,holiday season,141717081
The Good Shepherd,Universal Pictures,holiday season,89782190
The Good Son,Twentieth Century Fox,fall,94058556
The Goonies,Warner Bros.,summer,174346691
The Goonies2020 Re-release,Warner Bros.,summer,956999
The Grand Budapest Hotel,-,spring,75617304
The Great Gatsby,Warner Bros.,summer,188292544
The Great Mouse Detective,Walt Disney Studios Motion Pictures,summer,69169447
The Great Mouse Detective1992 Re-release,Walt Disney Studios Motion Pictures,winter,28836600
The Great Muppet Caper,Universal Pictures,summer,107349503
The Great Outdoors,Universal Pictures,summer,107369045
The Great Wall,Universal Pictures,winter,56015220
The Greatest Showman,Twentieth Century Fox,holiday season,211932344
The Green Hornet,Sony Pictures Entertainment (SPE),winter,134340857
The Green Knight,A24,summer,19577585
The Green Mile,Warner Bros.,holiday season,246471350
The Grey,Open Road Films (II),winter,68085911
The Grifters,Miramax,holiday season,29467471
The Grinch,Universal Pictures,holiday season,322199296
The Grudge,Sony Pictures Entertainment (SPE),fall,178782166
The Grudge,Sony Pictures Entertainment (SPE),holiday season,24617291
The Grudge 2,Sony Pictures Entertainment (SPE),fall,59107196
The Guardian,Universal Pictures,spring,37910028
The Guardian,Walt Disney Studios Motion Pictures,fall,82986243
The Hand,Warner Bros.,spring,8419661
The Hand That Rocks the Cradle,Walt Disney Studios Motion Pictures,winter,191039602
The Hangover,Warner Bros.,summer,393797954
The Hangover Part II,Warner Bros.,summer,346071454
The Hangover Part III,Warner Bros.,summer,145860093
The Happening,Twentieth Century Fox,summer,91599761
The Hard Way,Universal Pictures,spring,57487976
The Hate U Give,Twentieth Century Fox,fall,35896313
The Hateful Eight,The Weinstein Company,holiday season,51380539
The Haunted Mansion,Walt Disney Studios Motion Pictures,holiday season,110576875
The Haunting,DreamWorks Distribution,summer,166368294
The Haunting in Connecticut,Lionsgate,spring,78653112
The Heartbreak Kid,DreamWorks,fall,54445140
The Heat,Twentieth Century Fox,summer,207456844
The Help,Walt Disney Studios Motion Pictures,summer,230493515
The Hidden,New Line Cinema,fall,26222087
The Hills Have Eyes,-,spring,63086083
The Hitchhiker's Guide to the Galaxy,Walt Disney Studios Motion Pictures,spring,80204103
The Hitman's Bodyguard,Lionsgate,summer,92826357
The Hobbit: An Unexpected Journey,Warner Bros.,holiday season,398475570
The Hobbit: The Battle of the Five Armies,Warner Bros.,holiday season,326553328
The Hobbit: The Desolation of Smaug,Warner Bros.,holiday season,334740415
The Holiday,Sony Pictures Entertainment (SPE),holiday season,75543918
The Horse Whisperer,Walt Disney Studios Motion Pictures,summer,139459591
The Hours,Paramount Pictures,holiday season,67928320
The House,Warner Bros.,summer,31468939
The House Bunny,Sony Pictures Entertainment (SPE),summer,68497092
The House Next Door: Meet the Blacks 2,Hidden Empire Film Group (HEFG),summer,3257193
The House on Sorority Row,-,winter,32451257
The House with a Clock in Its Walls,Universal Pictures,fall,82929044
The Hunchback of Notre Dame,Walt Disney Studios Motion Pictures,summer,177490027
The Hundred-Foot Journey,Walt Disney Studios Motion Pictures,summer,69428250
The Hunger,Metro-Goldwyn-Mayer (MGM),spring,18296633
The Hunger Games,Lionsgate,spring,538574113
The Hunger Games: Catching Fire,Lionsgate,holiday season,551485633
The Hunger Games: Mockingjay - Part 1,Lionsgate,holiday season,431533931
The Hunger Games: Mockingjay - Part 2,Lionsgate,holiday season,345048474
The Hunt,Universal Pictures,spring,6742500
The Hunt for Red October,Paramount Pictures,winter,286729711
The Hunted,Paramount Pictures,spring,56502760
The Huntsman: Winter's War,Universal Pictures,spring,60971639
The Hurricane,Universal Pictures,holiday season,89095939
The Hustle,United Artists Releasing,summer,42146275
The Ice Pirates,Metro-Goldwyn-Mayer (MGM),spring,41912054
The Ides of March,Sony Pictures Entertainment (SPE),fall,55482710
The Idolmaker,Metro-Goldwyn-Mayer (MGM),holiday season,10109006
The Illusionist,Yari Film Group Releasing,summer,60053707
The Imitation Game,The Weinstein Company,holiday season,91122129
The Incredible Hulk,Universal Pictures,summer,191425816
The Incredible Shrinking Woman,Universal Pictures,winter,69694265
The Incredibles,Walt Disney Studios Motion Pictures,holiday season,403282419
The Indian in the Cupboard,Paramount Pictures,summer,70955700
The Informant!,Warner Bros.,fall,47309885
The Insider,Walt Disney Studios Motion Pictures,holiday season,47365456
The Intern,Warner Bros.,fall,96735854
The Internship,Twentieth Century Fox,summer,58074593
The Interpreter,Universal Pictures,spring,114151812
The Intruder,Screen Gems,spring,42148755
The Invisible Man,Universal Pictures,winter,75300298
The Invitation,Sony Pictures Entertainment (SPE),summer,26606084
The Iron Giant,Warner Bros.,summer,42149935
The Island,DreamWorks Distribution,summer,56235693
The Island,Universal Pictures,summer,60509787
The Island of Dr. Moreau,New Line Cinema,summer,53668125
The Italian Job,Paramount Pictures,summer,175112191
The Jackal,Universal Pictures,holiday season,103268926
The Jazz Singer,Universal Pictures,holiday season,104404300
The Jewel of the Nile,Twentieth Century Fox,holiday season,210685567
The Journey of Natty Gann,Walt Disney Studios Motion Pictures,fall,27571779
The Joy Luck Club,Walt Disney Studios Motion Pictures,fall,69092385
The Judge,Warner Bros.,fall,60164148
The Jungle Book,Walt Disney Studios Motion Pictures,holiday season,86951883
The Jungle Book,Walt Disney Studios Motion Pictures,spring,458641414
The Jungle Book 2,Walt Disney Studios Motion Pictures,winter,79045462
The Jungle Book1984 Re-release,Walt Disney Studios Motion Pictures,summer,68963418
The Jungle Book1990 Re-release,Walt Disney Studios Motion Pictures,summer,104917204
The Juror,Sony Pictures Entertainment (SPE),winter,44144166
The Karate Kid,Columbia Pictures,summer,266997740
The Karate Kid,Sony Pictures Entertainment (SPE),summer,243696432
The Karate Kid Part II,Columbia Pictures,summer,314233862
The Karate Kid Part III,Columbia Pictures,summer,96222031
The Kid,Walt Disney Studios Motion Pictures,summer,123354749
The Killing Fields,Warner Bros.,fall,94852009
The King's Man,20th Century Studios,holiday season,40707652
The King's Speech,The Weinstein Company,holiday season,160179588
The Kingdom,Universal Pictures,fall,70354431
The Ladykillers,Walt Disney Studios Motion Pictures,spring,64474689
The Lake House,Warner Bros.,summer,79018467
The Land Before Time,Universal Pictures,holiday season,123044238
The Last Airbender,Paramount Pictures,summer,181845618
The Last Boy Scout,Warner Bros.,holiday season,130768957
The Last Dragon,TriStar Pictures,spring,73142166
The Last Duel,20th Century Studios,fall,12373497
The Last Emperor,Columbia Pictures,holiday season,102415681
The Last Exorcism,Lionsgate,summer,56627402
The Last Full Measure,Roadside Attractions,winter,3421085
The Last House on the Left,Universal Pictures,spring,46508145
The Last Married Couple in America,Universal Pictures,winter,49416844
The Last Samurai,Warner Bros.,holiday season,182417840
The Last Shift,Stage 6 Films,fall,1199981
The Last Song,Walt Disney Studios Motion Pictures,spring,86871529
The Last Starfighter,Universal Pictures,summer,84475872
The Last Unicorn,-,holiday season,20463396
The Last Witch Hunter,Lionsgate,fall,35030604
The Last of the Mohicans,Twentieth Century Fox,fall,163847707
The Lawnmower Man,New Line Cinema,spring,69658770
The Lazarus Effect,Relativity Media,winter,33026009
The League of Extraordinary Gentlemen,Twentieth Century Fox,summer,109667586
The Legend of Bagger Vance,DreamWorks Distribution,holiday season,54318623
The Legend of Tarzan,Warner Bros.,summer,159570256
The Legend of Zorro,Sony Pictures Entertainment (SPE),fall,71252449
The Legend of the Lone Ranger,Universal Pictures,summer,43405386
The Lego Batman Movie,Warner Bros.,winter,216172972
The Lego Movie,Warner Bros.,winter,329933685
The Lego Movie 2: The Second Part,Warner Bros.,winter,125909744
The Lego Ninjago Movie,Warner Bros.,fall,72916312
The Lincoln Lawyer,Lionsgate,spring,78892512
The Lion King,Walt Disney Studios Motion Pictures,summer,1253095976
The Lion King2011 3D Release,Walt Disney Studios Motion Pictures,fall,128154166
The Little Drummer Girl,Warner Bros.,fall,23016792
The Little Mermaid,Walt Disney Studios Motion Pictures,holiday season,203641226
The Little Mermaid1997 Re-release,Walt Disney Studios Motion Pictures,holiday season,51112718
The Little Rascals,Universal Pictures,summer,104478161
The Little Things,Warner Bros.,winter,17488208
The Living Daylights,United Artists,summer,137690062
The Lizzie McGuire Movie,Walt Disney Studios Motion Pictures,spring,70511850
The Lodge,Neon,winter,2000745
The Lone Ranger,Walt Disney Studios Motion Pictures,summer,116092749
The Long Kiss Goodnight,New Line Cinema,fall,64888367
The Long Riders,United Artists,summer,60811477
The Longest Ride,Twentieth Century Fox,spring,47931029
The Longest Yard,Paramount Pictures,summer,248247552
The Lorax,Universal Pictures,winter,282520260
The Lord of the Rings: The Fellowship of the Ring,New Line Cinema,holiday season,532862776
The Lord of the Rings: The Return of the King,New Line Cinema,holiday season,618267643
The Lord of the Rings: The Two Towers,New Line Cinema,holiday season,569397139
The Lords of Discipline,Paramount Pictures,winter,36068608
The Lost Boys,Warner Bros.,summer,86678705
The Lost City,Paramount Pictures,spring,111664670
The Lost World: Jurassic Park,Universal Pictures,summer,430682956
The Love Guru,Paramount Pictures,summer,45774826
The Lovely Bones,DreamWorks,holiday season,60438216
The Lucky One,Warner Bros.,spring,79803422
The Magnificent Seven,Sony Pictures Entertainment (SPE),fall,117709518
The Man Without a Face,Warner Bros.,summer,51996709
The Man from Snowy River,Twentieth Century Fox,holiday season,59267910
The Man from U.N.C.L.E.,Warner Bros.,summer,58169739
The Man in the Iron Mask,Metro-Goldwyn-Mayer (MGM),spring,105392468
The Man with One Red Shoe,Twentieth Century Fox,summer,24552967
The Man with Two Brains,Warner Bros.,summer,31681520
The Manchurian Candidate,Paramount Pictures,summer,106848120
The Many Saints of Newark,Warner Bros.,fall,8696795
The Marksman,Open Road Films (II),winter,17745346
The Marrying Man,Walt Disney Studios Motion Pictures,spring,27649584
The Martian,Twentieth Century Fox,fall,288442051
The Mask,New Line Cinema,summer,240399752
The Mask of Zorro,Sony Pictures Entertainment (SPE),summer,173373234
The Master of Disguise,Revolution Studios,summer,68257061
The Matrix,Warner Bros.,spring,312093472
The Matrix Reloaded,Warner Bros.,summer,464601160
The Matrix Resurrections,Warner Bros.,holiday season,42198783
The Matrix Revolutions,Warner Bros.,holiday season,227767935
The Maze Runner,Twentieth Century Fox,fall,130693364
The Meaning of Life,Universal Pictures,spring,45684429
The Meg,Warner Bros.,summer,175986927
The Men Who Stare at Goats,Overture Films,holiday season,45407250
The Menu,Searchlight Pictures,holiday season,37864844
The Messengers,Screen Gems,winter,52354752
The Mexican,DreamWorks Distribution,winter,114305006
The Mighty Ducks,Walt Disney Studios Motion Pictures,fall,110132571
The Milagro Beanfield War,Universal Pictures,spring,35808806
The Mirror Has Two Faces,Sony Pictures Entertainment (SPE),holiday season,79702696
The Mission,Warner Bros.,fall,42699354
The Missionary,Columbia Pictures,holiday season,22954540
The Mist,-,holiday season,37444100
The Money Pit,Universal Pictures,spring,102374047
The Monuments Men,Sony Pictures Entertainment (SPE),winter,99880473
The Morning After,Twentieth Century Fox,holiday season,67968458
The Mortal Instruments: City of Bones,Screen Gems,summer,40515047
The Mothman Prophecies,Screen Gems,winter,60411365
The Mountain Between Us,Twentieth Century Fox,fall,37328722
The Mule,Warner Bros.,holiday season,124821650
The Mummy,Universal Pictures,summer,381481898
The Mummy Returns,Universal Pictures,spring,345453832
The Mummy: Tomb of the Dragon Emperor,Universal Pictures,summer,145538321
The Muppet Christmas Carol,Walt Disney Studios Motion Pictures,holiday season,46897148
The Muppets,Walt Disney Studios Motion Pictures,holiday season,111241584
The Muppets Take Manhattan,TriStar Pictures,summer,75072026
The Musketeer,Universal Pictures,fall,46295924
The Naked Gun 2½: The Smell of Fear,Paramount Pictures,summer,192985512
The Naked Gun: From the Files of Police Squad!,Paramount Pictures,holiday season,199649664
The Name of the Rose,Twentieth Century Fox,fall,19529019
The Nanny Diaries,-,summer,38377364
The Nativity Story,New Line Cinema,holiday season,54991180
The Natural,TriStar Pictures,summer,140978818
The Negotiator,Warner Bros.,summer,82413209
The Net,Sony Pictures Entertainment (SPE),summer,98574679
The NeverEnding Story,Warner Bros.,summer,59266895
The NeverEnding Story II: The Next Chapter,Warner Bros.,winter,38569229
The New Guy,Revolution Studios,summer,50294656
The New Mutants,20th Century Studios,summer,27891357
The Nice Guys,Warner Bros.,summer,45689821
The Night Before,Sony Pictures Entertainment (SPE),holiday season,54892577
The Night House,Searchlight Pictures,summer,8094662
The Nightmare Before Christmas,Walt Disney Studios Motion Pictures,fall,105006390
The Nightmare Before Christmas2020 Re-release,Walt Disney Studios Motion Pictures,fall,2651760
The Northman,Focus Features,spring,36287096
The Notebook,New Line Cinema,summer,131222033
The Nude Bomb,Universal Pictures,summer,56448834
The Number 23,New Line Cinema,winter,52079720
The Nun,Warner Bros.,fall,142114643
The Nut Job,Open Road Films (II),winter,82241972
The Nut Job 2: Nutty by Nature,Open Road Films (II),summer,34895742
The Nutcracker and the Four Realms,Walt Disney Studios Motion Pictures,fall,66043940
The Nutty Professor,Universal Pictures,summer,249899196
The Object of My Affection,Twentieth Century Fox,spring,53996399
The Odd Couple II,Paramount Pictures,spring,34987806
The Odd Life of Timothy Green,Walt Disney Studios Motion Pictures,summer,68397604
The Omen,Twentieth Century Fox,summer,82457148
The One,Revolution Studios,fall,75078825
The Original Kings of Comedy,Paramount Pictures,summer,67583538
The Osterman Weekend,Twentieth Century Fox,fall,19849598
The Other Guys,Sony Pictures Entertainment (SPE),summer,164523569
The Other Sister,Walt Disney Studios Motion Pictures,winter,50609881
The Other Woman,Twentieth Century Fox,spring,107406327
The Others,Miramax,summer,165053794
The Out-of-Towners,Paramount Pictures,spring,51950298
The Outsiders,Warner Bros.,spring,78634799
The Pacifier,Walt Disney Studios Motion Pictures,spring,177546382
The Package,Orion Pictures,summer,26298630
The Paper,Universal Pictures,spring,77074559
The Parent Trap,Walt Disney Studios Motion Pictures,summer,122670758
The Passion of the Christ,Newmarket Films,winter,599844858
The Patriot,Sony Pictures Entertainment (SPE),summer,200594705
The Peacemaker,DreamWorks Distribution,fall,77424803
The Peanuts Movie,Twentieth Century Fox,holiday season,164141547
The Pelican Brief,Warner Bros.,holiday season,209092336
The People Under the Stairs,Universal Pictures,fall,53733221
The People vs. Larry Flynt,Sony Pictures Entertainment (SPE),holiday season,36625105
The Perfect Guy,Screen Gems,fall,72995116
The Perfect Storm,Warner Bros.,summer,323234628
The Perfect Weapon,Paramount Pictures,spring,31216221
The Personal History of David Copperfield,Searchlight Pictures,summer,2176505
The Phantom,Paramount Pictures,summer,33607252
The Phantom of the Opera,Warner Bros.,holiday season,60149717
The Photograph,Universal Pictures,winter,23870694
The Pianist,Focus Features,holiday season,53405462
The Piano,Miramax,holiday season,81728653
The Pick-up Artist,Twentieth Century Fox,fall,35751089
The Pink Panther,Sony Pictures Entertainment (SPE),winter,124161975
The Pink Panther 2,Sony Pictures Entertainment (SPE),winter,51010628
The Pirate Movie,Twentieth Century Fox,summer,25306382
The Player,New Line Cinema,spring,44523443
The Players Club,New Line Cinema,spring,42638687
The Polar Express,Warner Bros.,holiday season,245627486
The Possession,Lionsgate,summer,64851803
The Post,Twentieth Century Fox,holiday season,96973437
The Postman,Miramax,summer,39422423
The Preacher's Wife,Walt Disney Studios Motion Pictures,holiday season,92231882
The Predator,Twentieth Century Fox,fall,61739896
The Presidio,Paramount Pictures,summer,52639408
The Prestige,Walt Disney Studios Motion Pictures,fall,79207282
The Prince and Me,Paramount Pictures,spring,45645925
The Prince of Egypt,DreamWorks Distribution,holiday season,186225200
The Prince of Tides,Columbia Pictures,holiday season,163102800
The Princess Bride,Twentieth Century Fox,fall,83007519
The Princess Diaries,Walt Disney Studios Motion Pictures,summer,184962014
The Princess Diaries 2: Royal Engagement,Walt Disney Studios Motion Pictures,summer,154176179
The Princess and the Frog,Walt Disney Studios Motion Pictures,holiday season,107969739
The Principal,TriStar Pictures,fall,53086988
The Program,Walt Disney Studios Motion Pictures,fall,48368386
The Prophecy,Dimension Films,summer,32070597
The Proposal,Walt Disney Studios Motion Pictures,summer,232820404
The Protégé,Lionsgate,summer,8489378
The Punisher,Lionsgate,spring,54776256
The Purge,Universal Pictures,summer,83815049
The Purge: Anarchy,Universal Pictures,summer,92112384
The Purge: Election Year,Universal Pictures,summer,99808852
The Purple Rose of Cairo,Orion Pictures,winter,28152931
The Pursuit of D.B. Cooper,Universal Pictures,holiday season,12734976
The Pursuit of Happyness,Sony Pictures Entertainment (SPE),holiday season,245030708
The Queen,Miramax,fall,41800653
The Quest,Universal Pictures,spring,42071901
The Quick and the Dead,Sony Pictures Entertainment (SPE),winter,37086708
The Rainmaker,Paramount Pictures,holiday season,86323525
The Reader,The Weinstein Company,holiday season,46177945
The Reaping,Warner Bros.,spring,37186796
The Recruit,Walt Disney Studios Motion Pictures,winter,87123415
The Relic,Paramount Pictures,winter,63838423
The Remains of the Day,Columbia Pictures,holiday season,29158628
The Rental,IFC Films,summer,1888376
The Replacement Killers,Sony Pictures Entertainment (SPE),winter,35529118
The Replacements,Warner Bros.,summer,79184594
The Rescuers Down Under,Walt Disney Studios Motion Pictures,holiday season,48034343
The Rescuers1983 Re-release,Walt Disney Studios Motion Pictures,holiday season,62988289
The Rescuers1989 Re-release,Walt Disney Studios Motion Pictures,spring,52403196
The Return of the Living Dead,Orion Pictures,summer,40435579
The Revenant,Twentieth Century Fox,holiday season,230284372
The Rhythm Section,Paramount Pictures,winter,6308046
The Right Stuff,Warner Bros.,fall,36842941
The Ring,DreamWorks Distribution,fall,214383204
The Ring Two,DreamWorks Distribution,spring,119683060
The River,Universal Pictures,holiday season,29888015
The River Wild,Universal Pictures,fall,95973503
The Road Warrior,Warner Bros.,summer,56072564
The Road to El Dorado,DreamWorks Distribution,spring,90028823
The Rock,Walt Disney Studios Motion Pictures,summer,260094851
The Rocketeer,Walt Disney Studios Motion Pictures,summer,103683004
The Rookie,Walt Disney Studios Motion Pictures,spring,127764121
The Rookie,Warner Bros.,holiday season,40264075
The Roommate,Screen Gems,winter,50728000
The Royal Tenenbaums,Walt Disney Studios Motion Pictures,holiday season,72884878
The Rugrats Movie,Paramount Pictures,holiday season,159897335
The Rundown,Universal Pictures,fall,78748464
The Running Man,TriStar Pictures,holiday season,93825228
The Russia House,Metro-Goldwyn-Mayer (MGM),holiday season,29572502
The Saint,Paramount Pictures,spring,115363011
The Sandlot,Twentieth Century Fox,spring,68111412
The Santa Clause,Walt Disney Studios Motion Pictures,holiday season,271097026
The Santa Clause 2,Walt Disney Studios Motion Pictures,fall,230800966
The Santa Clause 3: The Escape Clause,Walt Disney Studios Motion Pictures,holiday season,126159060
The Score,Paramount Pictures,summer,121594185
The Scorpion King,Universal Pictures,spring,153869560
The Second Best Exotic Marigold Hotel,-,spring,42340180
The Secret Garden,Warner Bros.,summer,65480828
The Secret Life of Bees,-,fall,53170268
The Secret Life of Pets,Universal Pictures,summer,464164255
The Secret Life of Pets 2,Universal Pictures,summer,187959780
The Secret Life of Walter Mitty,Twentieth Century Fox,holiday season,75172838
The Secret of My Success,Universal Pictures,spring,180218914
The Secret of NIMH,Metro-Goldwyn-Mayer (MGM),summer,39629320
The Seduction,Embassy Pictures,winter,36069334
The Sentinel,Twentieth Century Fox,spring,54783852
The Serpent and the Rainbow,Universal Pictures,winter,50751130
The Seventh Sign,TriStar Pictures,spring,48886278
The Shack,Lionsgate,spring,70585294
The Shadow,Universal Pictures,summer,65730041
The Shaggy Dog,Walt Disney Studios Motion Pictures,spring,92296589
The Shallows,Sony Pictures Entertainment (SPE),summer,69456294
The Shape of Water,-,holiday season,58309002
The Shawshank Redemption,Columbia Pictures,fall,32728807
The Shining,Warner Bros.,summer,169466889
The Siege,Twentieth Century Fox,holiday season,73830739
The Silence of the Lambs,Orion Pictures,winter,287715114
The Simpsons Movie,Twentieth Century Fox,summer,271039820
The Sisterhood of the Traveling Pants,Warner Bros.,summer,61313305
The Sisterhood of the Traveling Pants 2,Warner Bros.,summer,62607748
The Sixth Sense,Walt Disney Studios Motion Pictures,summer,502526881
The Skeleton Key,Universal Pictures,summer,75215112
The Skulls,Universal Pictures,spring,62031632
The Smurfs,Sony Pictures Entertainment (SPE),summer,193955254
The Smurfs 2,Sony Pictures Entertainment (SPE),summer,92323119
